30,30
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
14,14,14,14,1,2,2,2,2,2,2,2,2,2,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
14,14,14,1,30,0,0,0,0,0,0,0,0,0,29,2,2,2,2,2,2,3,14,14,14,14,14,14,14,14,
14,14,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,2,2,2,2,2,2,2,
14,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,4,5,6,0,0,0,0,0,0,0,17,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,2,3,14,14,14,14,14,14,14,14,14,14,14,
14,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,2,2,2,2,2,3,14,14,14,14,
14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,3,14,14,
14,14,25,26,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,14,
14,14,14,14,14,25,26,26,26,26,26,26,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,
14,14,14,14,14,14,14,14,14,14,14,14,14,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,0,0,4,5,6,0,0,0,0,0,0,0,0,15,14,
14,14,14,14,14,14,14,14,14,14,14,14,14,1,30,0,0,0,0,0,0,0,4,5,6,0,0,0,15,14,
14,14,14,14,14,14,14,14,14,14,14,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,
14,14,14,14,14,14,14,14,1,2,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,27,14,
14,14,14,14,14,1,2,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,14,14,
14,14,14,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,26,26,26,26,27,14,14,14,
14,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,14,14,14,14,14,14,14,14,
14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,14,14,14,14,14,14,14,14,14,
14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,26,26,27,14,14,14,14,14,14,14,14,14,14,
1,30,0,0,0,0,0,0,0,0,0,0,0,17,26,27,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
13,0,0,0,0,0,0,0,0,0,0,0,0,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
13,0,0,0,0,0,0,4,5,6,0,0,17,27,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
13,0,0,0,0,0,0,0,0,0,0,0,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
25,26,26,26,26,26,26,26,26,26,26,26,27,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
