25,20
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,
4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,2,2,2,6,
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,2,2,2,2,6,
0,0,0,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,6,
0,0,0,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,6,
4,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,6,
4,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,6,
4,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,6,
4,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,6,
7,8,8,8,8,8,8,8,8,8,0,0,0,8,8,8,8,0,0,0,8,8,8,8,9
